datetime,open,high,low,close,volume,quote_volume,trades
2025-08-04 16:00:00,165.49,169.8,165.0,165.65,540242.329,90546573.5903,416550
2025-08-04 20:00:00,165.64,169.78,165.3,169.55,405166.333,68126455.06473,306670
2025-08-05 00:00:00,169.55,169.97,167.57,167.92,280719.371,47370295.11341,229138
2025-08-05 04:00:00,167.92,169.28,165.78,166.22,320599.334,53697930.04498,203155
2025-08-05 08:00:00,166.21,171.73,165.66,170.89,401901.212,68017472.55509,281387
2025-08-05 12:00:00,170.89,171.04,162.9,163.78,907980.606,150673262.59118,754970
2025-08-05 16:00:00,163.77,164.94,162.28,162.76,432796.162,70918992.32552,399496
2025-08-05 20:00:00,162.76,164.54,161.3,164.09,210961.324,34405089.2767,242633
2025-08-06 00:00:00,164.09,164.17,161.13,161.86,204645.359,33264573.29877,255184
2025-08-06 04:00:00,161.86,164.79,161.25,164.25,216024.256,35340302.07624,216943
2025-08-06 08:00:00,164.26,164.64,162.72,164.2,252055.091,41255362.79754,216468
2025-08-06 12:00:00,164.2,169.42,162.65,169.04,602980.618,100132270.09505,513957
2025-08-06 16:00:00,169.05,169.93,167.18,168.82,360608.53,60787159.26788,300138
2025-08-06 20:00:00,168.82,168.85,167.32,168.09,161177.575,27099935.52242,129919
2025-08-07 00:00:00,168.1,169.0,166.7,166.89,199853.998,33533113.31484,168568
2025-08-07 04:00:00,166.9,170.45,166.76,169.99,366454.602,61875981.19712,201936
2025-08-07 08:00:00,169.99,173.49,169.06,172.82,686547.098,117980159.67137,382714
2025-08-07 12:00:00,172.83,173.18,169.7,170.49,728069.885,124882889.16388,397614
2025-08-07 16:00:00,170.48,171.94,167.0,171.75,486405.746,82358651.40052,348089
2025-08-07 20:00:00,171.76,175.51,171.52,175.36,547331.666,95082132.98992,330032
2025-08-08 00:00:00,175.37,175.92,173.43,174.71,734440.62,128166022.72949,550804
2025-08-08 04:00:00,174.71,177.87,173.88,177.14,447839.862,78625058.73667,243989
2025-08-08 08:00:00,177.13,177.95,174.88,177.65,516005.681,91051510.5766,286521
2025-08-08 12:00:00,177.65,179.14,174.21,175.23,925795.327,163534262.05916,604847
