datetime,open,high,low,close,volume,quote_volume,trades
2025-08-04 12:45:00,163.2,163.7,163.0,163.69,24634.565,4023620.94184,15337
2025-08-04 13:00:00,163.7,164.03,163.31,163.71,53978.839,8835899.67527,22745
2025-08-04 13:15:00,163.71,164.05,163.21,163.42,20046.419,3278025.15255,22172
2025-08-04 13:30:00,163.42,165.14,163.36,165.1,57181.192,9408136.64673,47362
2025-08-04 13:45:00,165.1,165.79,164.31,165.47,62545.562,10329685.00398,49104
2025-08-04 14:00:00,165.47,166.91,165.41,166.35,133403.484,22202359.51738,65708
2025-08-04 14:15:00,166.35,166.8,166.01,166.75,57312.795,9539471.8061,37890
2025-08-04 14:30:00,166.76,166.88,165.6,165.63,40811.533,6782546.0496,33716
2025-08-04 14:45:00,165.64,166.15,164.5,165.03,43726.446,7225752.62384,46303
2025-08-04 15:00:00,165.03,165.68,164.67,165.62,25242.408,4171367.57805,25290
2025-08-04 15:15:00,165.61,165.97,165.18,165.76,23294.025,3858153.58526,18198
2025-08-04 15:30:00,165.75,166.01,164.93,165.13,30096.331,4980263.93084,24710
2025-08-04 15:45:00,165.13,165.68,164.53,165.49,28132.09,4646507.3319,23884
2025-08-04 16:00:00,165.49,166.5,165.48,166.3,25176.058,4180417.91758,22816
2025-08-04 16:15:00,166.31,167.88,166.16,167.01,54737.24,9146114.4444,48979
2025-08-04 16:30:00,167.01,168.02,167.0,167.61,42059.786,7048747.74289,34423
2025-08-04 16:45:00,167.61,168.17,167.34,168.02,36886.407,6187516.8187,26353
2025-08-04 17:00:00,168.02,169.8,167.72,169.57,106369.365,17972556.1835,50541
2025-08-04 17:15:00,169.57,169.8,168.96,169.04,35291.672,5975566.18917,29505
2025-08-04 17:30:00,169.05,169.09,167.9,168.13,63136.439,10628705.49214,33864
2025-08-04 17:45:00,168.13,168.36,167.63,167.83,21180.273,3558287.50642,23722
2025-08-04 18:00:00,167.82,168.15,167.14,167.18,19997.232,3350934.63645,20792
2025-08-04 18:15:00,167.18,167.83,167.12,167.44,14746.792,2469385.14334,15402
2025-08-04 18:30:00,167.43,167.43,166.72,166.77,15107.211,2522357.4147,16292
2025-08-04 18:45:00,166.78,167.04,166.43,166.67,12643.046,2106893.02737,14779
2025-08-04 19:00:00,166.66,166.66,166.16,166.31,19980.981,3324714.81496,17723
2025-08-04 19:15:00,166.31,166.55,165.75,165.81,16239.276,2697771.68077,17360
2025-08-04 19:30:00,165.82,165.9,165.0,165.35,39630.728,6551634.05636,22890
2025-08-04 19:45:00,165.34,165.81,165.34,165.65,17059.823,2824970.52155,21109
2025-08-04 20:00:00,165.64,166.11,165.3,165.76,16420.001,2721963.8148,19091
2025-08-04 20:15:00,165.75,166.38,165.7,166.38,21422.084,3558655.14469,12219
2025-08-04 20:30:00,166.38,168.44,166.37,167.86,81962.124,13728315.6468,43818
2025-08-04 20:45:00,167.85,167.85,166.78,167.29,18608.855,3111364.38537,24211
2025-08-04 21:00:00,167.28,167.94,167.27,167.62,25381.077,4253984.60598,20265
2025-08-04 21:15:00,167.62,168.3,167.5,168.08,24047.271,4036867.46147,19190
2025-08-04 21:30:00,168.09,168.77,167.82,168.67,22389.501,3769925.64466,12791
2025-08-04 21:45:00,168.67,168.78,168.26,168.54,18714.519,3152996.92102,13440
2025-08-04 22:00:00,168.54,169.05,168.34,168.92,36566.246,6169141.36717,27097
2025-08-04 22:15:00,168.92,169.2,168.53,168.61,22378.492,3780038.11114,19056
2025-08-04 22:30:00,168.61,169.09,168.23,168.62,15406.074,2597891.90649,18532
2025-08-04 22:45:00,168.61,169.54,168.58,169.47,24944.766,4218245.25646,16739
2025-08-04 23:00:00,169.47,169.73,169.0,169.7,35264.061,5973563.54757,20205
2025-08-04 23:15:00,169.7,169.73,169.25,169.35,9185.667,1556557.11697,10468
2025-08-04 23:30:00,169.34,169.78,168.98,169.43,15949.75,2700418.13879,13901
2025-08-04 23:45:00,169.42,169.66,168.96,169.55,16525.845,2796525.99535,15647
2025-08-05 00:00:00,169.55,169.65,168.72,169.07,19728.669,3335204.74207,18276
2025-08-05 00:15:00,169.07,169.16,168.59,168.85,29464.606,4975873.07193,15023
2025-08-05 00:30:00,168.86,169.76,168.86,169.51,17346.455,2938121.0936,16562
2025-08-05 00:45:00,169.5,169.69,168.9,169.31,15675.017,2653544.42647,18270
2025-08-05 01:00:00,169.31,169.97,168.98,169.23,19555.811,3314473.88257,20387
2025-08-05 01:15:00,169.23,169.49,168.72,169.42,23399.376,3955436.55926,18104
2025-08-05 01:30:00,169.41,169.41,168.85,169.1,12299.316,2079697.34369,12375
2025-08-05 01:45:00,169.09,169.22,168.15,168.21,15569.583,2623838.41887,14150
2025-08-05 02:00:00,168.22,168.77,168.0,168.04,14926.125,2513262.77679,14522
2025-08-05 02:15:00,168.03,168.43,167.95,168.26,18146.631,3051212.54258,10303
2025-08-05 02:30:00,168.26,168.86,168.22,168.75,9383.552,1582507.81322,12227
2025-08-05 02:45:00,168.74,169.48,168.6,169.42,17899.351,3027315.55479,12453
2025-08-05 03:00:00,169.42,169.44,168.11,168.23,12366.588,2084856.71773,13199
2025-08-05 03:15:00,168.23,168.23,167.57,168.08,20595.419,3458142.18124,12272
2025-08-05 03:30:00,168.08,168.6,167.88,168.06,16104.805,2708127.84888,11079
2025-08-05 03:45:00,168.07,168.35,167.88,167.92,18258.067,3068680.13972,9936
2025-08-05 04:00:00,167.92,168.51,167.59,168.38,12942.929,2175241.50989,10246
2025-08-05 04:15:00,168.38,168.38,167.5,167.82,14307.545,2401495.42015,10633
2025-08-05 04:30:00,167.82,167.83,167.35,167.44,16618.726,2783744.15874,9896
2025-08-05 04:45:00,167.45,167.62,167.23,167.48,9914.18,1660039.38428,8325
2025-08-05 05:00:00,167.48,167.99,167.42,167.59,9865.883,1654837.27654,9275
2025-08-05 05:15:00,167.58,167.88,167.43,167.85,11924.452,1999668.37351,8246
2025-08-05 05:30:00,167.84,168.3,167.74,167.97,19666.9,3303998.71317,10545
2025-08-05 05:45:00,167.98,168.6,167.97,168.42,16558.066,2787663.23579,9323
2025-08-05 06:00:00,168.42,169.03,168.17,168.89,20061.616,3384382.33192,11288
2025-08-05 06:15:00,168.89,169.28,168.76,168.94,14903.225,2519490.6259,10671
2025-08-05 06:30:00,168.93,168.96,168.51,168.55,11038.784,1861437.46375,7722
2025-08-05 06:45:00,168.55,168.56,167.31,167.71,18399.594,3088620.59139,15400
2025-08-05 07:00:00,167.71,168.05,167.49,167.9,11328.681,1900418.06039,12609
2025-08-05 07:15:00,167.9,168.52,167.46,167.54,16392.125,2754450.81812,11397
2025-08-05 07:30:00,167.54,167.58,165.78,166.2,69941.551,11642968.93036,38120
2025-08-05 07:45:00,166.19,166.81,166.08,166.22,46735.077,7779473.15108,19459
2025-08-05 08:00:00,166.21,166.41,165.66,165.97,28764.229,4777118.24256,20967
2025-08-05 08:15:00,165.97,167.24,165.97,166.92,19563.709,3262982.18791,14378
2025-08-05 08:30:00,166.92,167.25,166.35,166.65,13791.012,2301063.17399,13477
2025-08-05 08:45:00,166.65,166.88,166.3,166.84,10605.444,1766827.57331,11726
2025-08-05 09:00:00,166.83,167.5,166.77,167.49,13806.522,2307992.34995,9955
2025-08-05 09:15:00,167.48,167.79,167.17,167.76,19118.041,3201293.65641,11575
2025-08-05 09:30:00,167.75,169.07,167.58,168.87,39173.413,6591137.80396,16747
2025-08-05 09:45:00,168.86,169.4,168.78,168.88,21876.208,3699620.00223,17177
2025-08-05 10:00:00,168.89,169.5,168.43,169.22,30516.242,5155795.76461,18753
2025-08-05 10:15:00,169.22,170.78,169.02,170.68,41043.979,6971364.33844,25712
2025-08-05 10:30:00,170.68,171.73,170.39,170.81,49234.942,8424160.25208,36956
2025-08-05 10:45:00,170.8,171.05,170.48,171.03,25226.806,4308228.73814,15946
2025-08-05 11:00:00,171.04,171.31,170.63,170.89,22599.488,3861659.05916,19747
2025-08-05 11:15:00,170.9,171.46,170.59,171.18,23470.703,4013260.48096,15389
2025-08-05 11:30:00,171.18,171.65,170.56,171.64,21233.907,3632547.34742,16697
2025-08-05 11:45:00,171.63,171.63,170.74,170.89,21876.567,3742421.58396,16185
2025-08-05 12:00:00,170.89,171.04,170.46,170.98,12672.77,2163254.82597,16443
2025-08-05 12:15:00,170.98,171.01,168.11,168.9,57756.956,9777330.29239,47447
2025-08-05 12:30:00,168.89,168.95,166.77,167.62,59472.875,9986496.43619,63837
2025-08-05 12:45:00,167.61,168.14,167.03,167.23,57750.674,9681568.73684,44582
2025-08-05 13:00:00,167.23,167.55,166.82,167.07,40520.073,6773250.18608,38972
2025-08-05 13:15:00,167.07,167.8,166.98,167.33,58182.928,9736581.4614,31619
2025-08-05 13:30:00,167.33,168.14,166.63,167.28,51516.066,8625089.43544,52345
2025-08-05 13:45:00,167.29,168.14,167.27,167.76,33906.028,5685475.193,40193
2025-08-05 14:00:00,167.76,167.8,165.42,165.78,75714.178,12597675.67809,67617
2025-08-05 14:15:00,165.77,165.79,163.9,164.6,125524.667,20667434.6152,84019
2025-08-05 14:30:00,164.61,164.99,163.75,164.15,70469.7,11580731.29273,56678
2025-08-05 14:45:00,164.14,164.75,163.61,164.3,72138.485,11835150.82881,49601
2025-08-05 15:00:00,164.29,165.33,163.81,164.91,52679.631,8675677.56113,42448
2025-08-05 15:15:00,164.91,164.92,163.7,164.09,47900.305,7874842.21422,39381
2025-08-05 15:30:00,164.1,164.28,162.9,163.67,59653.96,9759279.15493,47726
2025-08-05 15:45:00,163.67,163.95,163.08,163.78,32121.31,5253424.67876,32062
2025-08-05 16:00:00,163.77,164.36,163.6,164.13,42728.078,7007035.3226,26428
2025-08-05 16:15:00,164.13,164.64,163.83,164.34,31204.125,5126643.08599,28809
2025-08-05 16:30:00,164.33,164.73,162.74,163.47,60074.038,9833209.5004,33876
2025-08-05 16:45:00,163.47,163.98,162.93,163.83,33904.437,5540157.1745,26422
2025-08-05 17:00:00,163.83,163.97,163.36,163.77,35437.489,5801041.43738,26601
2025-08-05 17:15:00,163.76,164.5,163.69,164.38,24511.945,4021484.70877,23428
2025-08-05 17:30:00,164.37,164.73,164.11,164.14,22700.391,3732297.29795,20631
2025-08-05 17:45:00,164.13,164.93,163.79,164.81,18339.745,3015283.10397,19330
