timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2023-01-17,21185.65,21647.45,20841.31,21134.81,275407.74409,2023-01-17 23:59:59.999,5840585769.49009330,6440138,137121.64311000,2908227174.24903050,0
2023-01-18,21132.29,21650.0,20407.15,20677.47,350916.01949,2023-01-18 23:59:59.999,7399719195.24672580,7617173,173174.41690000,3652037808.31621500,0
2023-01-19,20677.47,21192.0,20659.19,21071.59,251385.84925,2023-01-19 23:59:59.999,5243024330.01120060,5819932,124924.23436000,2605629874.08902800,0
2023-01-20,21071.59,22755.93,20861.28,22667.21,338079.13659,2023-01-20 23:59:59.999,7256172889.71053270,7382435,170200.04869000,3654038898.27092860,0
2023-01-21,22666.0,23371.8,22422.0,22783.55,346445.48432,2023-01-21 23:59:59.999,7938935168.53201350,7796520,172663.17131000,3956916674.40296310,0
2023-01-22,22783.35,23078.71,22292.37,22707.88,253577.75286,2023-01-22 23:59:59.999,5775552321.54412040,6603827,125842.91663000,2866409820.72257050,0
2023-01-23,22706.02,23180.0,22500.0,22916.45,293588.37938,2023-01-23 23:59:59.999,6704191295.97568070,7258655,145854.70936000,3330927704.48361020,0
2023-01-24,22917.81,23162.2,22462.93,22632.89,293158.78254,2023-01-24 23:59:59.999,6721432962.57384140,7395584,144239.84356000,3307407342.13857970,0
2023-01-25,22631.94,23816.73,22300.0,23060.94,346042.83223,2023-01-25 23:59:59.999,7875590359.11583720,8060446,172647.90115000,3929821773.96511740,0
2023-01-26,23060.42,23282.47,22850.01,23009.65,288924.43581,2023-01-26 23:59:59.999,6664592468.33792820,7181086,143185.08341000,3303064271.05117470,0
2023-01-27,23009.65,23500.0,22534.88,23074.16,280833.86315,2023-01-27 23:59:59.999,6461707755.05391510,7079096,139699.27638000,3214623770.84504020,0
2023-01-28,23074.16,23189.0,22878.46,23022.6,148115.71085,2023-01-28 23:59:59.999,3408985411.31658610,4181816,73861.83566000,1700057503.74953890,0
2023-01-29,23021.4,23960.54,22967.76,23742.3,295688.79204,2023-01-29 23:59:59.999,6941922954.13640640,7030837,149507.50610000,3510026672.79971740,0
2023-01-30,23743.37,23800.51,22500.0,22826.15,302405.90121,2023-01-30 23:59:59.999,7020727239.05965260,7790224,149096.53066000,3461492907.17260580,0
2023-01-31,22827.38,23320.0,22714.77,23125.13,264649.34909,2023-01-31 23:59:59.999,6083858924.53848520,6798411,133028.12717000,3058369006.24069910,0
2023-02-01,23125.13,23812.66,22760.23,23732.66,310790.42271,2023-02-01 23:59:59.999,7212542002.32509920,7863213,156107.58478000,3623730152.71912710,0
2023-02-02,23731.41,24255.0,23363.27,23488.94,364177.20751,2023-02-02 23:59:59.999,8673696845.80511160,9102300,181814.20318000,4330715913.90659360,0
2023-02-03,23489.33,23715.7,23204.62,23431.9,332571.02904,2023-02-03 23:59:59.999,7806490899.91418120,8007846,166143.33246000,3900042090.51636510,0
2023-02-04,23431.9,23587.78,23253.96,23326.84,166126.47295,2023-02-04 23:59:59.999,3886777607.79605080,4852404,81863.93145000,1915443497.68895130,0
2023-02-05,23327.66,23433.33,22743.0,22932.91,209251.33917,2023-02-05 23:59:59.999,4842463016.83393380,5903916,103885.22312000,2404286621.12033370,0
2023-02-06,22932.91,23158.25,22628.13,22762.52,265371.6069,2023-02-06 23:59:59.999,6076050768.11703820,6956395,132350.52989000,3030470974.62453000,0
2023-02-07,22762.52,23350.25,22745.78,23240.46,308006.72482,2023-02-07 23:59:59.999,7085929136.45684950,8293878,154613.24744000,3557209786.51536870,0
2023-02-08,23242.42,23452.0,22665.85,22963.0,280056.30717,2023-02-08 23:59:59.999,6457585647.82065440,7896433,138627.72636000,3196783919.63012260,0
2023-02-09,22961.85,23011.39,21688.0,21796.35,402894.6955,2023-02-09 23:59:59.999,9052973327.19716240,9784291,199309.68374000,4478800426.30285760,0
