timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2023-01-15,0.08729,0.08794,0.08281,0.08608,1138888071.0,2023-01-15 23:59:59.999,96754312.05574000,198124,557994028.00000000,47399907.64397000,0
2023-01-16,0.08607,0.08833,0.08155,0.08368,1287934489.0,2023-01-16 23:59:59.999,109522663.45943000,233644,629835855.00000000,53582395.82446000,0
2023-01-17,0.08369,0.08505,0.08194,0.08285,756342910.0,2023-01-17 23:59:59.999,63352297.83481000,146304,388948124.00000000,32589229.83846000,0
2023-01-18,0.08286,0.08976,0.0778,0.08,2493642731.0,2023-01-18 23:59:59.999,211395207.84248000,456990,1228736543.00000000,104243914.14996000,0
2023-01-19,0.08,0.08218,0.07971,0.08161,691282040.0,2023-01-19 23:59:59.999,55964579.60940000,125843,329522928.00000000,26688515.98982000,0
2023-01-20,0.08159,0.087,0.0806,0.08617,918640712.0,2023-01-20 23:59:59.999,76449430.40969000,164321,479368649.00000000,39878573.42316000,0
2023-01-21,0.08616,0.08913,0.0837,0.08467,1633128413.0,2023-01-21 23:59:59.999,141751024.85559000,285263,798297421.00000000,69328743.51145000,0
2023-01-22,0.08468,0.09343,0.08432,0.08824,1738503746.0,2023-01-22 23:59:59.999,154544824.96444000,292651,851465506.00000000,75638047.99554000,0
2023-01-23,0.08822,0.09151,0.08621,0.08851,1434286413.0,2023-01-23 23:59:59.999,127519821.96884000,230236,712282224.00000000,63341059.78706000,0
2023-01-24,0.08851,0.0908,0.0821,0.08392,1125073702.0,2023-01-24 23:59:59.999,98857383.52138000,209960,531054029.00000000,46652800.66657000,0
2023-01-25,0.08392,0.08818,0.08165,0.08654,1051938532.0,2023-01-25 23:59:59.999,89023124.93685000,210375,518366953.00000000,43898809.42582000,0
2023-01-26,0.08655,0.08771,0.08451,0.08633,798277511.0,2023-01-26 23:59:59.999,68849219.36763000,152823,387714849.00000000,33448064.87750000,0
2023-01-27,0.08634,0.088,0.08352,0.08723,754008754.0,2023-01-27 23:59:59.999,64748605.57932000,143243,371600656.00000000,31919086.47357000,0
2023-01-28,0.08723,0.09381,0.08671,0.08773,1403207343.0,2023-01-28 23:59:59.999,125749168.19360000,241025,715178739.00000000,64135191.32418000,0
2023-01-29,0.08773,0.09102,0.08725,0.09009,1040667224.0,2023-01-29 23:59:59.999,93296963.54751000,173837,502970884.00000000,45084876.39418000,0
2023-01-30,0.09009,0.09286,0.0845,0.08837,1972615630.0,2023-01-30 23:59:59.999,173498545.07610000,328676,979703191.00000000,86148870.99031000,0
2023-01-31,0.08833,0.09867,0.08822,0.09612,3424868562.0,2023-01-31 23:59:59.999,320351628.16160000,601040,1737098577.00000000,162459255.89232000,0
2023-02-01,0.09613,0.09717,0.08812,0.09403,2518388790.0,2023-02-01 23:59:59.999,232047408.39588000,452304,1216012963.00000000,112029449.57297000,0
