datetime,open,high,low,close,volume,quote_volume,trades
2024-12-01T05:45:00,3705.74,3716.99,3705.3,3715.46,9137.697,33920142.73836,14054
2024-12-01T05:50:00,3715.46,3717.54,3712.0,3716.92,11082.685,41163244.40326,13483
2024-12-01T05:55:00,3716.92,3730.0,3716.8,3729.68,13303.161,49528707.00591,16427
2024-12-01T06:00:00,3729.67,3730.0,3717.65,3729.68,12974.509,48318308.77102,21344
2024-12-01T06:05:00,3729.71,3729.78,3720.47,3726.49,6121.629,22799870.31581,14454
2024-12-01T06:10:00,3726.49,3730.0,3723.87,3724.58,8361.151,31168890.76815,15751
2024-12-01T06:15:00,3724.57,3727.02,3720.0,3724.56,6435.436,23959696.66497,13128
2024-12-01T06:20:00,3724.57,3725.12,3712.6,3715.67,9275.058,34473611.94591,16741
2024-12-01T06:25:00,3715.67,3716.67,3696.62,3698.0,24934.431,92356254.91896,29168
2024-12-01T06:30:00,3698.0,3707.36,3690.29,3703.72,18146.681,67118162.64293,32609
2024-12-01T06:35:00,3703.73,3703.73,3693.5,3700.62,11650.041,43088944.08233,25321
2024-12-01T06:40:00,3700.62,3701.69,3690.28,3691.12,11217.332,41448989.61318,19768
2024-12-01T06:45:00,3691.14,3697.09,3682.08,3685.25,18381.373,67801911.22815,30520
2024-12-01T06:50:00,3685.24,3690.21,3676.93,3684.58,22168.155,81663434.45035,32097
2024-12-01T06:55:00,3684.58,3689.47,3680.01,3683.51,9377.166,34553534.78743,22468
2024-12-01T07:00:00,3683.52,3684.18,3677.3,3681.55,8578.466,31566541.04128,19389
2024-12-01T07:05:00,3681.55,3690.86,3679.53,3689.01,9255.4,34124258.13894,18229
2024-12-01T07:10:00,3689.0,3695.8,3688.91,3693.57,7415.587,27385119.84312,11132
2024-12-01T07:15:00,3693.56,3699.87,3692.21,3699.01,6292.932,23258034.74994,12286
2024-12-01T07:20:00,3699.0,3703.94,3698.19,3702.55,10553.114,39061943.14302,14882
2024-12-01T07:25:00,3702.56,3710.87,3700.21,3706.83,7951.772,29469998.07449,14644
2024-12-01T07:30:00,3706.82,3734.12,3704.81,3730.49,36262.884,135074960.6025,46041
2024-12-01T07:35:00,3730.49,3733.0,3716.76,3721.68,24586.008,91608546.68882,39149
2024-12-01T07:40:00,3721.67,3723.25,3707.47,3712.4,15176.297,56344625.14535,29498
2024-12-01T07:45:00,3712.41,3715.26,3706.13,3708.73,14605.415,54183751.35545,24789
2024-12-01T07:50:00,3708.73,3709.3,3697.42,3705.2,13494.338,49984499.52828,24608
2024-12-01T07:55:00,3705.19,3716.39,3695.63,3700.47,29788.341,110389285.71723,46468
2024-12-01T08:00:00,3700.46,3704.55,3691.44,3703.76,13340.408,49315839.61986,27803
2024-12-01T08:05:00,3703.75,3704.29,3690.9,3692.17,7929.27,29314265.98671,20565
2024-12-01T08:10:00,3692.17,3699.37,3692.02,3693.0,5266.183,19459854.96383,15337
2024-12-01T08:15:00,3693.0,3693.01,3677.28,3679.52,24524.137,90325583.79779,30604
2024-12-01T08:20:00,3679.51,3684.27,3670.3,3674.41,27076.191,99520749.88462,36180
