datetime,open,high,low,close,volume,quote_volume,trades
2025-08-04 13:00:00,3570.18,3621.2,3560.48,3621.18,39973.0102,143630982.008284,234046
2025-08-04 14:00:00,3621.19,3665.6,3618.51,3639.04,62527.0339,227846837.110381,316563
2025-08-04 15:00:00,3639.05,3657.46,3634.56,3648.89,24071.5376,87751241.502379,174450
2025-08-04 16:00:00,3648.89,3698.86,3648.85,3685.61,31790.7909,116832883.158396,215291
2025-08-04 17:00:00,3685.62,3718.54,3678.44,3681.5,29492.6576,109099443.74252,216898
2025-08-04 18:00:00,3681.5,3693.4,3671.26,3676.28,11484.4418,42275283.151899,121089
2025-08-04 19:00:00,3676.28,3688.46,3666.22,3669.73,12455.6091,45797047.636022,130973
2025-08-04 20:00:00,3669.73,3713.04,3661.21,3700.47,17101.3931,63093481.917354,156704
2025-08-04 21:00:00,3700.46,3732.0,3699.1,3710.02,18804.2053,69861928.66363,149077
2025-08-04 22:00:00,3710.02,3736.73,3710.02,3732.52,23577.2217,87873069.64921,140861
2025-08-04 23:00:00,3732.51,3733.74,3709.31,3720.99,14374.2753,53479794.443385,91461
2025-08-05 00:00:00,3720.99,3722.24,3693.66,3697.52,18166.7583,67297897.954748,119445
2025-08-05 01:00:00,3697.53,3707.43,3678.56,3680.38,13461.5777,49706801.158639,123183
2025-08-05 02:00:00,3680.38,3688.07,3672.5,3680.09,20551.5013,75582923.838953,93443
2025-08-05 03:00:00,3680.1,3681.16,3648.24,3651.94,22939.5826,83967337.074924,114983
2025-08-05 04:00:00,3651.94,3667.84,3635.0,3649.02,14185.1342,51808130.057304,110205
2025-08-05 05:00:00,3649.03,3668.37,3646.91,3664.4,11672.3515,42721624.244208,92388
2025-08-05 06:00:00,3664.4,3679.69,3635.04,3650.85,17109.5981,62641621.966935,125886
2025-08-05 07:00:00,3650.85,3656.5,3601.53,3613.49,27886.6748,101066192.319664,194191
2025-08-05 08:00:00,3613.49,3637.5,3608.1,3634.81,18459.413,66897128.8631,131643
2025-08-05 09:00:00,3634.81,3666.55,3633.58,3660.56,14570.1279,53166877.929179,103451
2025-08-05 10:00:00,3660.56,3694.06,3654.0,3682.55,17429.1474,64100752.55806,123356
2025-08-05 11:00:00,3682.56,3686.3,3662.03,3673.79,16969.2144,62348030.824123,128485
2025-08-05 12:00:00,3673.8,3680.58,3609.73,3628.43,29620.7096,107886418.725765,256545
2025-08-05 13:00:00,3628.43,3659.4,3618.63,3646.86,22651.8476,82382659.00909,227733
2025-08-05 14:00:00,3646.85,3647.63,3559.82,3577.85,76416.0033,274185452.294548,447932
